表現 (問題となった広告表現など),製品カテゴリ,判定,理由,代替表現（可能な場合）
アレルギーテスト済み,化粧品,条件付きOK,※「全ての方にアレルギーが起こらないわけではない」のデメリット表示が必要。,-
○○大学教授△△博士が化粧品××について語る,化粧品,NG,専門家の推薦にあたる。,-
△△医師と共同開発,化粧品,微妙,推薦とは異なるが、「8.8事務連絡」以降は微妙。媒体審査NG多。,-
化粧品広告に白衣着用者登場 (共同開発医師など),化粧品,条件付きOK,登場自体はOKだが、商品コメントは原則NG(推薦抵触)。※「製品開発者」肩書表示ならOK(粧工連)。医師として開発関与表示はOK。,-
白髪染め (一般化粧品),化粧品,条件付きOK,※「本品は髪の表面を着色する染毛料です。酸化染毛剤ではありません」等の注記推奨。,-
まつ毛を育てる (一般化粧品),化粧品,NG,育毛表現は部外品限定。,さらばエクステ、まつ毛をバッチリケア (ギリギリ)
ヘアーのコーティングで髪にボリューム感が出る,化粧品,OK,髪自体を太くするわけではないため。,-
頭皮を清浄にし、育毛環境を整える (シャンプー・コンディショナー),化粧品,NG (育毛環境部分),「頭皮環境を整える」はOKだが、「育毛」は部外品限定。,頭皮環境を整える
育毛剤の浸透をサポートし、育毛に最適な頭皮環境を保つ,化粧品,NG (後半) / 微妙 (前半),「育毛に最適な～」は効能逸脱。「浸透サポート」は汚れ除去の意味なら強調しなければ可だが、育毛効果イメージに注意。,育毛剤の浸透をサポート (汚れ除去の意味で)
髪がボリュームアップ (シャンプー),化粧品,NGに近い (微妙),毛髪が増えたとも取れる。「髪ふんわり」「ボリューム感が出た」ならOK。「ボリューム感」にとどめる。,髪ふんわり、ボリューム感が出た
デリケートゾーン用 (化粧品),化粧品,OK,トラブル的ニュアンスがなければ部位用表示OK。,-
アンダーヘアーにツヤを与える,化粧品,OK,毛髪の効能は部位限定なし。,-
デリケートゾーンの臭いケアに,化粧品,OK,部位表示・臭いケアともにOK。,-
生理時のにおいが気になる方へ,化粧品,条件付きOK,マスキング効果であることを※等で明確化推奨。,-
発毛抑制 (一般化粧品),化粧品,NG,除毛は部外品。発毛抑制は一般化粧品では無理。,脱毛ケア
冷えが気になる方にオススメ、寒くて眠れない方はぜひ (入浴料・化粧品),化粧品,NG,「温まる」「寒さ」はお湯の効果と明確化する必要あり。,-
ラメラ構造 (化粧品広告),化粧品,微妙 (作用表現はNG),角質層の組織名であり言及自体はOKだが、作用をうたうと効能逸脱の可能性高い。,-
60秒、瞬間 (化粧品商品名),化粧品,微妙,即効性・作用時間明示は原則NGだが、化粧品の保湿効果等は即時的なので必ずしもNGではない。景表法エビデンス要。,-
処方 (化粧品広告),化粧品,OKに近い,医薬品ワードだが一般にも使用。化粧品では使用例多く、医薬品的文脈でなければOK。,-
美肌菌のエサになる (化粧品),化粧品,NG,コスメで「育てる」ニュアンスは効能範囲外。「美肌菌を補給」ならOK。,美肌菌を補給する
オートファジーに着目した化粧品,化粧品,OKに近い,オートファジー自体の説明は薬機法違反だが、単に「着目した」だけなら意味不明瞭でセーフか。,-
アクアポリン※に着目。角層細胞の中からたっぷりのうるおいで満たす (※水の通り道),化粧品,微妙 (後半修正要),アクアポリンが角質層範囲と明確ならOK。「角層細胞の中から」は「角層(細胞)をたっぷりうるおいで満たす」に修正推奨。景表法エビデンス要。,角層（細胞）をたっぷりうるおいで満たす
潤いを実感 (一般化粧品),化粧品,NG,「実感」は保証表現にあたる。,潤いに満足
保湿力を高める成分△△配合 (一般化粧品),化粧品,NG,「保湿力」向上は肌機能変化と解釈されるため。,保湿を高める成分△△配合
保湿効果持続 (化粧品),化粧品,OK (テキスト) / NG (グラフ),テキスト表現はOKだが、グラフでの時間明示は保証表現となりNG。,潤いが12時間持続 (テキストのみ)
ゆで卵のようなお肌,化粧品,OK,抽象的な表現のため。,-
女優肌へ (化粧水),化粧品,OK,肌の具体的変化ではないため。,上流肌
陶器肌 (一般化粧品),化粧品,OK,肌の具体的変化ではないため。,-
肌がふっくら,化粧品,微妙 (ギリギリ),「肌を柔らげる」と同趣旨と言えればギリギリOK。高リスク媒体では避けるべき。,肌が潤いで満たされる
お肌にぷるぷる感,化粧品,微妙 (ギリギリ),「肌を柔らげる」と同趣旨と言えるか。「ぷるぷる感」の方が「ぷるぷる」より安全だがギリギリ。,-
お肌を修復,化粧品,NG,機能性の強い表現。,ダメージ肌を整える、リペア
お肌と共生,化粧品,OK,肌の変化を謳っていないため。,-
お肌とインタラクティブ,化粧品,OK,肌の変化を謳っていないため。,-
お肌を育む,化粧品,OKに近い,意味の具体化次第ではNGの可能性あるが、単独ならOKか。,-
お肌の内側から潤う,化粧品,条件付きOK,粧工連ガイドラインはNGだが、「お肌の内側※角質層」と注記すればOK。,-
アロマセラピーコスメ,化粧品,NG,「セラピー」は医薬品ワード。,アロマコスメ
リラックス (一般化粧品),化粧品,微妙,NGとする行政官もいる。,至福の一時
エモリエント成分配合 (一般化粧品),化粧品,OK,「肌を柔らかくする」と同義で効能範囲内。,-
浄化 (一般化粧品),化粧品,条件付きOK,角質を落とす趣旨ならOK。それ以外はNG。,-
還元力、還元作用 (化粧品広告),化粧品,微妙 (文脈次第),「抗酸化」の言い換え。治療的回復でなければ、汚れ除去や水分補給の意味でOKの可能性あり。,-
ピーリング (化粧品),化粧品,OK (物理的),角質層を物理的に落とす趣旨ならOK。,-
ケミカルピーリング (化粧品),化粧品,NG,医薬品の領域。,-
成分△△がコラーゲンを生成します。,化粧品,NG,機能表現であり効能範囲外。,コラーゲンと関係が深い成分△△配合
肌荒れを抑える (化粧品),化粧品,微妙 (ギリギリ),「肌荒れ予防」はOK。「抑える」はギリギリ。,肌荒れを防ぐ
肌荒れを鎮める (化粧品),化粧品,NG,治癒の趣旨は言えない。,肌荒れ対策 (ギリギリ)
成分特記表示「肌荒れ防止成分」,化粧品,OK,厚労省Q&Aで認められている。,-
肌の収れん成分,化粧品,OK,「肌を引き締める」と同等で効能範囲内。「収れん」は種類別名称としても認められている。,-
敏感肌も使えるビタミンC (化粧品広告),化粧品,NG,「敏感肌用」は化粧品全体を主語とする場合であり、成分 (ビタミンC) で受けることは不可。,-
スキンウォーターが膜を作りニキビを守ると共に抗炎症効果も,化粧品,NG (抗炎症部分),「膜を作りニキビを守る」はOK。「抗炎症効果」は医薬品的表現でNG。,お肌もやさしく守ります
お肌の皮脂量を減らす (一般化粧品),化粧品,OKに近い,肌表面の脂っぽい状態を改善する趣旨ならOK。,お肌の皮脂を取る
大豆エキスで肌サイクルをサポート。,化粧品,NG,「ターンオーバーを整える」に近く機能的表現。,肌リズムを整える (ギリギリ)
お肌の新陳代謝を向上 (一般化粧品),化粧品,NG,効能範囲外。,お肌のリズムのサポート
お肌の血行促進 (一般化粧品),化粧品,NG,効能範囲外。,お肌本来の力をサポート
角質層の先まで浸透。,化粧品,NG,真皮層への浸透を示唆するため。,角質層の奥まで浸透。
角質層の奥へ (化粧品),化粧品,微妙 (粧工連NG),粧工連ガイドラインはNGとしている。,奥へ (ギリギリ)
角質層の中から (化粧品),化粧品,微妙 (粧工連NG),粧工連ガイドラインはNGとしている。,中から (ギリギリ)
抗酸化力のある天然成分○○。,化粧品,NG,化粧品の効能として「抗酸化」は謳えない。,ＳＯＤ力（ないし還元力）のある天然成分○○。(SODの意味不明瞭でギリギリ)
ビタミンＥの１０００倍の抗酸化力があるアスタキサンチン配合,化粧品,NG,「抗酸化力」が効能範囲外。他社誹謗禁止にも抵触 (成分レベル比較もNG)。,美容パワー、ダメージケアパワー
細胞を息づかせる (一般化粧品),化粧品,NG,適正広告ガイドラインで細胞への言及はNG。,肌がくまなく息づいているみたい
細胞を活性化します (一般化粧品),化粧品,NG,効能範囲外。細胞レベルの話は不可。,肌環境を整えます、肌がイキイキします
幹細胞化粧品、幹細胞コスメ,化粧品,条件付きOK,成分の由来が幹細胞 (例: リンゴ幹細胞抽出エキス) ならOK。肌の細胞への作用はNG。「幹細胞コスメ」は※「植物幹細胞由来の意味」等の注記推奨。,-
幹細胞上清液使用,化粧品,OKに近い,「幹細胞培養上清液」の方がより正確。,幹細胞培養上清液使用
△△でターンオーバーを整える。,化粧品,NG,ターンオーバー周期を変える機能的表現であり、効能範囲外。,△△でターンオーバーをケア。(ギリギリ)
夏の疲れた肌に (一般化粧品),化粧品,NG,厚労省通知で「肌の疲れ」はNGとされている。,夏の傷んだ肌に、夏のダメージをケア
エイジングケア以外の表現 (若返り、老化防止),化粧品,条件付きOK,主観的な印象表現 (例: 実年齢より若く見える、老けて見えなくなった) なら必ずしもNGではない。,実年齢より若く見える、老けて見えなくなった
保湿・エイジングケア成分 (成分説明として),化粧品,NG,「エイジングケア成分」は概念的におかしい。「アンチエイジング成分」と誤認させる狙いと見られる。,美容業界でエイジングケアをサポートすると話題の保湿成分
エイジレスな肌,化粧品,グレー,若返り・老化防止とも取れるが、「年齢不詳」の意味とも取れる。,※「年齢を感じさせない肌のことです」と注釈すればよい。
アンチエイジングケア,化粧品,NG,「加齢を止めるケア」の意味になるため。,エイジングケア (年齢に応じたお手入れ)
アンチエイジング,化粧品,NG,加齢を止める意味のため。,エイジングケア
エイジングと戦う,化粧品,NG,「アンチエイジング」と同義のため。,-
抗加齢,化粧品,NG,加齢を止めるニュアンスのため。,-
△△は肌表面と肌内部で老化と戦う。,化粧品,NG,「老化と戦う」はアンチエイジングと同義。,△△は肌表面と肌内部でエイジングケア。
老化の原因にＳＰＦウォーター××,化粧品,NG,老化の原因と化粧品を結びつけるのは不可。「老化の原因となる紫外線対策に～」もNG。,-
テーピング効果 (一般化粧品),化粧品,NG,効能範囲外。,ピーンと張る (ギリギリ)
たるみを取る,化粧品,NG,効能範囲外。,スキッとひきしめ
化粧品の物理的効果でシワを伸ばす,化粧品,OK (要エビデンス),平成25年粧工連通知に基づき、事実の範囲で可能。エビデンス不可欠。,-
上記のビフォーアフター写真,化粧品,OK,適正広告基準改定で原則OK。効能範囲逸脱や保証表現に注意。,-
ビフォーアフター写真,化粧品,条件付きOK,効能範囲内、効果発現時間・持続時間の強調なし、安全性保証なしが条件,・メーキャップ効果として ・使用例として（※効果には個人差があります）
シワの予防 (一般化粧品),化粧品,NG,「解消」だけでなく「予防」もNG。,深く刻まれた悩み
WRINKLE (一般化粧品),化粧品,微妙,ブランド名ならOK。,-
小ジワの原因は乾燥。だから保湿を (一般化粧品),化粧品,OK (要エビデンス),新効能「乾燥による小ジワを目立たなくする」のロジックに合う。抗シワ試験のエビデンス必要。,-
シワ予防 (美容液・一般化粧品),化粧品,NG,「解消」も「予防」も不可。,リンクル (ブランド名等なら可)
クスミを取る (一般化粧品),化粧品,条件付きOK,汚れや古い角質によるものと注釈すればOK。,-
UV耐水性☆★ (星が白黒混合),化粧品,NG,☆☆か★★のみ。,UV耐水性☆☆、UV耐水性★★
UVウォータープルーフ (UV耐水性の代わり),化粧品,NG,「UV耐水性」はセットフレーズ。,-
UV耐水性表示＋「ウォータープルーフ」,化粧品,条件付きOK,UV耐水性の程度を惑わせる強調でなければOK。,-
メイク効果ウォータープルーフ！,化粧品,OK,UV耐水性制度とは別。自己責任で表示可。,-
植物原料の組み合わせで紫外線カット効果 (SPF/PA値あり) → 「日やけを防ぐ」「日やけによるシミ、ソバカスを防ぐ」,化粧品,OK,SPF/PAのエビデンスがあれば謳える。,-
サンゴで純白 (一般化粧品),化粧品,NG,「純白」は「美白」に準じ薬用限定。,純白のサンゴを使用 (OK)
絹の成分で美白 (一般化粧品),化粧品,NG,一般化粧品で「美白」は言えない。,絹を精練する職人の手の白さの謎を研究しています (ギリギリ)
純白の (一般化粧品),化粧品,NG,「美白」「ホワイトニング」に準じ薬用限定。,陶器肌へ
美白 (美容液・一般化粧品),化粧品,NG,一般化粧品では「美白」「白」は謳えない。,透明感
ファンデの色もワントーン明るくなった (一般化粧品),化粧品,OK,-,-
ファンデーションでシミなし,化粧品,微妙,メイクで「シミを隠す」はOK。「シミなし」が「隠す」と解釈できるかによる。,シミをカバー
洗い流してタオルで拭いた直後、顔がパッと白くなりビックリしました (一般化粧品),化粧品,NG,顔色が白くなるように読めるため。,洗い流してタオルで拭いた後に、顔がパッと明るくなったことにビックリしました
色白の私が選んだ化粧品 (一般化粧品),化粧品,OKに近い,美白効果を直接うたってはいないため。,-
△△（一般化粧品）で、肌色が白くなった。,化粧品,NG,一般化粧品で「白くなる」はNG。,△△で肌色が明るくなった。
魔法の白い手 (一般化粧品),化粧品,微妙,「もともと白い」と読めればOK、「商品で白くなった」と読めればNG。文脈による。,ＵＶカットで守る魔法の白い手 (OK)
透明感を増す (一般化粧品),化粧品,条件付きOK,汚れが取れたと説明できる場合 (例: 石けん洗顔) はOK。,石けんの泡洗顔で透明感が増す (OK)
シミ (美容液・一般化粧品),化粧品,NG (運用上),ルール上(効能37)はOKだが、行政はUV化粧品限定と解釈しNGとする。,-
目元のシミが気になっていたが、使い始めて肌トラブルが改善された,化粧品,NG,肌トラブル改善は効能範囲外。,目元のシミが気になっていたが、使い始めてお肌の調子がいいみたいです
××でシミ対策！ (一般化粧品),化粧品,NG (運用上),ルール上はOKだが行政はNGとする。※「日焼けによるシミ」と注記しても同様。,-
化粧水が肌の奥まで浸透,化粧品,条件付きOK（要注釈）,「肌の奥」は角質層を超える浸透を暗示するため,肌の奥（※） ※角質層まで
透明感のある肌,化粧品,条件付きOK,メーキャップ効果や洗顔効果として表現可能,・うるおいのある肌、明るい印象に ・（洗顔料）汚れを落とすことで透明感のあるお肌に ・（メーキャップ効果として）シミ・ソバカスをカバーし透明感のあるお肌に
くすみをとる,化粧品,条件付きOK（洗顔料）,物理的な汚れ除去として表現可能,（洗顔料）くすみ（※）を洗い流す ※くすみとは古い角層や汚れなどのこと
潤いを実感,化粧品,OK,使用感の表現として許容,潤いに満足
肌の保湿力を高める,化粧品,NG（肌機能への作用）,肌の機能を高めることは医薬品的効能,保湿力に優れた〇〇
たるんだ肌へ潤いを与えます,化粧品,条件付きOK,「たるみ」の改善を暗示しない表現へ,ハリのない肌へ潤いを与えます
皮脂の分泌をコントロールします,化粧品,NG（身体機能への作用）,分泌のコントロールは医薬品的効能,皮脂のバランスを整える
角質除去,化粧品,条件付きOK,物理的な除去として表現,肌をやわらげる
ほうれい線対策,化粧品,条件付きOK（部位表現）,治療・改善を暗示しない場合に限る,・ほうれい線用美容液【部位として表現】 ・ほうれい線ケア【部位として表現】 ・口元の年齢サイン対策
ほうれい線をケア,化粧品,NG（改善暗示）,シワの改善を暗示,〇〇が肌を引き締める
リフトアップ,化粧品,条件付きOK,メーキャップ効果として表現可能,・ハリアップ ・肌を引き締める ・肌を上向き印象へ ・（メーキャップ効果と合わせて）肌のリフトアップ
毛穴を引き締める,化粧品,条件付きOK,洗顔料は汚れ除去、その他は肌の引き締め,・（洗顔剤）洗顔により毛穴汚れを落とし、毛穴を目立たなくする ・（それ以外）肌をひきしめる
抗炎症効果,化粧品,NG（薬理作用）,抗炎症は医薬品的効能,肌をやさしく守ります
疲れた肌にアプローチ,化粧品,条件付きOK,「疲れ」の改善を暗示しない表現へ,1日頑張った肌にアプローチ
ニキビ対策,化粧品,条件付きOK（洗顔料）,洗顔料のみ「ニキビを防ぐ」表現可能,ニキビを防ぐ
厄介な乾燥やむける場合,化粧品,NG（症状表現）,病的な症状を想起させる,肌に違和感を感じた場合
お肌のシミ・そばかすに有効,化粧品,NG（有効は薬用のみ）,「有効」は医薬部外品の表現,日やけによるシミ、ソバカスを防ぐ
シミ解消,化粧品,NG（治療効果）,既存のシミの除去は不可,日やけによるシミ、ソバカスを防ぐ
シミが取れる,化粧品,NG（治療効果）,既存のシミの除去は不可,日やけによるシミ、ソバカスを防ぐ
シミ予防,化粧品,条件付きOK（注釈要）,UV化粧品で日焼けによるものに限定,【注釈等でも可】日やけによるシミ、ソバカスを防ぐ
夏のシミ予防,化粧品,条件付きOK（注釈要）,UV化粧品で日焼けによるものに限定,・【注釈等でも可】日やけによるシミ、ソバカスを防ぐ ・夏の紫外線対策
小ジワの原因を解消,化粧品,NG（原因解消）,原因の解消は医薬品的効能,乾燥による小ジワを目立たなくする
皮脂の分泌を抑えてニオイの元を絶つ,化粧品,NG（分泌抑制）,身体機能への作用は不可,〇〇の香りで嫌なカラダのニオイを抑える
肌のコラーゲンの生成をサポート,化粧品,NG（生成作用）,体内での生成作用は医薬品的効能,コラーゲンと関係が深い成分〇〇配合
デトックス,化粧品,NG（体内浄化）,解毒・体質改善の暗示,肌を整える、肌荒れを防ぐ
老廃物の排出,化粧品,NG（体内作用）,体内からの排出作用は不可,（洗顔料）汚れを落とします
老化防止,化粧品,NG（老化防止）,アンチエイジングは医薬品的効能,エイジングケア（※） ※年齢肌に応じたケア
アンチエイジング,化粧品,NG（老化防止）,老化を止める意味合いは不可,エイジングケア（※） ※年齢肌に応じたケア
肌細胞の再生力を高める,化粧品,NG（細胞作用）,細胞レベルの作用は医薬品的効能,・年齢を感じさせない肌 ・実年齢より若く見られました ・老けて見られなくなりました
肌の酸化を防ぐ,化粧品,条件付きOK,還元の意味を明確化すれば可能,・肌の還元【皮膚にうるおいを与える等の意味であること】 ・エイジングケア（※） ※年齢肌に合わせたケア
抗酸化力,化粧品,条件付きOK,物理的な保護として表現,・環境ダメージからお肌を守る ・還元力のある〇〇配合【皮膚にうるおいを与える等の意味であること】
美容液でパッチリ二重,化粧品,条件付きOK,物理的効果として表現,（粘着効果などの物理的な効果で）パッチリ二重
鎮静化,化粧品,NG（薬理作用）,鎮静は医薬品的効能,肌を引き締める
肌の細胞を活性化します！,化粧品,NG（細胞作用）,細胞への直接作用は不可,肌が生き生きしていると言われます
皮膚科医推奨,化粧品,NG（医療関係者推薦）,医療関係者の推薦は原則禁止,・スキンケアアドバイザー推薦 ・皮膚の専門家による推薦
美容師推薦,化粧品,NG（医療関係者推薦）,美容師も医薬関係者に該当,・スタイリスト推薦 ・髪のプロが推薦
肌を修復,化粧品,NG（治療的表現）,修復は医薬品的効能,肌を補修
ターンオーバー,化粧品,条件付きOK,着目した、サポートなら可能,・ターンオーバーに着目した〇〇 ・ターンオーバーが乱れやすい季節の変わり目に〇〇 ・肌リズムをサポート
肌を再生,化粧品,NG（再生作用）,再生は医薬品的効能,・ターンオーバーに着目した〇〇 ・ターンオーバーが乱れやすい季節の変わり目に〇〇 ・肌リズムをサポート
肌の新陳代謝を向上,化粧品,NG（代謝向上）,身体機能の向上は不可,・ターンオーバーに着目した〇〇 ・ターンオーバーが乱れやすい季節の変わり目に〇〇 ・肌リズムをサポート
口臭菌を撃退,化粧品,NG（殺菌作用）,殺菌は医薬品的効能,口臭を撃退
小顔,化粧品,条件付きOK,マッサージ効果と組み合わせて,・肌を引き締める ・（マッサージ効果と組み合わせ）小顔
漢方由来,化粧品,NG（医薬品想起）,漢方は医薬品を想起,・植物由来 ・古くから愛用されている成分
生薬由来,化粧品,NG（医薬品想起）,生薬は医薬品成分,・植物由来 ・古くから愛用されている成分
クラウドファンディングで薬事超え表現→出資者特典で商品安価販売,化粧品 (CBDクリーム等),NG,特典付与で顧客誘引性が生じ薬機法適用。薬事超え表現は違反。,出資者特典を付けない。
ヘアカラー施術中の頭皮の違和感を緩和するスプレー式頭皮保湿オイル,化粧品 (オイル),NG (化粧品) / OK (雑品、要ロジック変更),化粧品効能外。物理的保護 (シート役割) ロジックで雑品なら可。「物理的カバー効果」等明記推奨。,-
