表現 (問題となった広告表現など),製品カテゴリ,判定,理由,代替表現（可能な場合）
アレルギーテスト済み,化粧品,条件付きOK,※「全ての方にアレルギーが起こらないわけではない」のデメリット表示が必要。,-
○○大学教授△△博士が化粧品××について語る,化粧品,NG,専門家の推薦にあたる。,-
△△医師と共同開発,化粧品,微妙,推薦とは異なるが、「8.8事務連絡」以降は微妙。媒体審査NG多。,-
化粧品広告に白衣着用者登場 (共同開発医師など),化粧品,条件付きOK,登場自体はOKだが、商品コメントは原則NG(推薦抵触)。※「製品開発者」肩書表示ならOK(粧工連)。医師として開発関与表示はOK。,-
白髪染め (一般化粧品),化粧品,条件付きOK,※「本品は髪の表面を着色する染毛料です。酸化染毛剤ではありません」等の注記推奨。,-
まつ毛を育てる (一般化粧品),化粧品,NG,育毛表現は部外品限定。,さらばエクステ、まつ毛をバッチリケア (ギリギリ)
ヘアーのコーティングで髪にボリューム感が出る,化粧品,OK,髪自体を太くするわけではないため。,-
頭皮を清浄にし、育毛環境を整える (シャンプー・コンディショナー),化粧品,NG (育毛環境部分),「頭皮環境を整える」はOKだが、「育毛」は部外品限定。,頭皮環境を整える
育毛剤の浸透をサポートし、育毛に最適な頭皮環境を保つ,化粧品,NG (後半) / 微妙 (前半),「育毛に最適な～」は効能逸脱。「浸透サポート」は汚れ除去の意味なら強調しなければ可だが、育毛効果イメージに注意。,育毛剤の浸透をサポート (汚れ除去の意味で)
髪がボリュームアップ (シャンプー),化粧品,NGに近い (微妙),毛髪が増えたとも取れる。「髪ふんわり」「ボリューム感が出た」ならOK。「ボリューム感」にとどめる。,髪ふんわり、ボリューム感が出た
デリケートゾーン用 (化粧品),化粧品,OK,トラブル的ニュアンスがなければ部位用表示OK。,-
アンダーヘアーにツヤを与える,化粧品,OK,毛髪の効能は部位限定なし。,-
デリケートゾーンの臭いケアに,化粧品,OK,部位表示・臭いケアともにOK。,-
生理時のにおいが気になる方へ,化粧品,条件付きOK,マスキング効果であることを※等で明確化推奨。,-
発毛抑制 (一般化粧品),化粧品,NG,除毛は部外品。発毛抑制は一般化粧品では無理。,脱毛ケア
冷えが気になる方にオススメ、寒くて眠れない方はぜひ (入浴料・化粧品),化粧品,NG,「温まる」「寒さ」はお湯の効果と明確化する必要あり。,-
ラメラ構造 (化粧品広告),化粧品,微妙 (作用表現はNG),角質層の組織名であり言及自体はOKだが、作用をうたうと効能逸脱の可能性高い。,-
60秒、瞬間 (化粧品商品名),化粧品,微妙,即効性・作用時間明示は原則NGだが、化粧品の保湿効果等は即時的なので必ずしもNGではない。景表法エビデンス要。,-
処方 (化粧品広告),化粧品,OKに近い,医薬品ワードだが一般にも使用。化粧品では使用例多く、医薬品的文脈でなければOK。,-
美肌菌のエサになる (化粧品),化粧品,NG,コスメで「育てる」ニュアンスは効能範囲外。「美肌菌を補給」ならOK。,美肌菌を補給する
オートファジーに着目した化粧品,化粧品,OKに近い,オートファジー自体の説明は薬機法違反だが、単に「着目した」だけなら意味不明瞭でセーフか。,-
アクアポリン※に着目。角層細胞の中からたっぷりのうるおいで満たす (※水の通り道),化粧品,微妙 (後半修正要),アクアポリンが角質層範囲と明確ならOK。「角層細胞の中から」は「角層(細胞)をたっぷりうるおいで満たす」に修正推奨。景表法エビデンス要。,角層（細胞）をたっぷりうるおいで満たす
潤いを実感 (一般化粧品),化粧品,NG,「実感」は保証表現にあたる。,潤いに満足
保湿力を高める成分△△配合 (一般化粧品),化粧品,NG,「保湿力」向上は肌機能変化と解釈されるため。,保湿を高める成分△△配合
保湿効果持続 (化粧品),化粧品,OK (テキスト) / NG (グラフ),テキスト表現はOKだが、グラフでの時間明示は保証表現となりNG。,潤いが12時間持続 (テキストのみ)
ゆで卵のようなお肌,化粧品,OK,抽象的な表現のため。,-
女優肌へ (化粧水),化粧品,OK,肌の具体的変化ではないため。,上流肌
陶器肌 (一般化粧品),化粧品,OK,肌の具体的変化ではないため。,-
肌がふっくら,化粧品,微妙 (ギリギリ),「肌を柔らげる」と同趣旨と言えればギリギリOK。高リスク媒体では避けるべき。,肌が潤いで満たされる
お肌にぷるぷる感,化粧品,微妙 (ギリギリ),「肌を柔らげる」と同趣旨と言えるか。「ぷるぷる感」の方が「ぷるぷる」より安全だがギリギリ。,-
お肌を修復,化粧品,NG,機能性の強い表現。,ダメージ肌を整える、リペア
お肌と共生,化粧品,OK,肌の変化を謳っていないため。,-
お肌とインタラクティブ,化粧品,OK,肌の変化を謳っていないため。,-
お肌を育む,化粧品,OKに近い,意味の具体化次第ではNGの可能性あるが、単独ならOKか。,-
お肌の内側から潤う,化粧品,条件付きOK,粧工連ガイドラインはNGだが、「お肌の内側※角質層」と注記すればOK。,-
アロマセラピーコスメ,化粧品,NG,「セラピー」は医薬品ワード。,アロマコスメ
リラックス (一般化粧品),化粧品,微妙,NGとする行政官もいる。,至福の一時
エモリエント成分配合 (一般化粧品),化粧品,OK,「肌を柔らかくする」と同義で効能範囲内。,-
浄化 (一般化粧品),化粧品,条件付きOK,角質を落とす趣旨ならOK。それ以外はNG。,-
還元力、還元作用 (化粧品広告),化粧品,微妙 (文脈次第),「抗酸化」の言い換え。治療的回復でなければ、汚れ除去や水分補給の意味でOKの可能性あり。,-
ピーリング (化粧品),化粧品,OK (物理的),角質層を物理的に落とす趣旨ならOK。,-
ケミカルピーリング (化粧品),化粧品,NG,医薬品の領域。,-
成分△△がコラーゲンを生成します。,化粧品,NG,機能表現であり効能範囲外。,コラーゲンと関係が深い成分△△配合
肌荒れを抑える (化粧品),化粧品,微妙 (ギリギリ),「肌荒れ予防」はOK。「抑える」はギリギリ。,肌荒れを防ぐ
肌荒れを鎮める (化粧品),化粧品,NG,治癒の趣旨は言えない。,肌荒れ対策 (ギリギリ)
成分特記表示「肌荒れ防止成分」,化粧品,OK,厚労省Q&Aで認められている。,-
肌の収れん成分,化粧品,OK,「肌を引き締める」と同等で効能範囲内。「収れん」は種類別名称としても認められている。,-
敏感肌も使えるビタミンC (化粧品広告),化粧品,NG,「敏感肌用」は化粧品全体を主語とする場合であり、成分 (ビタミンC) で受けることは不可。,-
スキンウォーターが膜を作りニキビを守ると共に抗炎症効果も,化粧品,NG (抗炎症部分),「膜を作りニキビを守る」はOK。「抗炎症効果」は医薬品的表現でNG。,お肌もやさしく守ります
お肌の皮脂量を減らす (一般化粧品),化粧品,OKに近い,肌表面の脂っぽい状態を改善する趣旨ならOK。,お肌の皮脂を取る
大豆エキスで肌サイクルをサポート。,化粧品,NG,「ターンオーバーを整える」に近く機能的表現。,肌リズムを整える (ギリギリ)
お肌の新陳代謝を向上 (一般化粧品),化粧品,NG,効能範囲外。,お肌のリズムのサポート
お肌の血行促進 (一般化粧品),化粧品,NG,効能範囲外。,お肌本来の力をサポート
角質層の先まで浸透。,化粧品,NG,真皮層への浸透を示唆するため。,角質層の奥まで浸透。
角質層の奥へ (化粧品),化粧品,微妙 (粧工連NG),粧工連ガイドラインはNGとしている。,奥へ (ギリギリ)
角質層の中から (化粧品),化粧品,微妙 (粧工連NG),粧工連ガイドラインはNGとしている。,中から (ギリギリ)
抗酸化力のある天然成分○○。,化粧品,NG,化粧品の効能として「抗酸化」は謳えない。,ＳＯＤ力（ないし還元力）のある天然成分○○。(SODの意味不明瞭でギリギリ)
ビタミンＥの１０００倍の抗酸化力があるアスタキサンチン配合,化粧品,NG,「抗酸化力」が効能範囲外。他社誹謗禁止にも抵触 (成分レベル比較もNG)。,美容パワー、ダメージケアパワー
細胞を息づかせる (一般化粧品),化粧品,NG,適正広告ガイドラインで細胞への言及はNG。,肌がくまなく息づいているみたい
細胞を活性化します (一般化粧品),化粧品,NG,効能範囲外。細胞レベルの話は不可。,肌環境を整えます、肌がイキイキします
幹細胞化粧品、幹細胞コスメ,化粧品,条件付きOK,成分の由来が幹細胞 (例: リンゴ幹細胞抽出エキス) ならOK。肌の細胞への作用はNG。「幹細胞コスメ」は※「植物幹細胞由来の意味」等の注記推奨。,-
幹細胞上清液使用,化粧品,OKに近い,「幹細胞培養上清液」の方がより正確。,幹細胞培養上清液使用
△△でターンオーバーを整える。,化粧品,NG,ターンオーバー周期を変える機能的表現であり、効能範囲外。,△△でターンオーバーをケア。(ギリギリ)
夏の疲れた肌に (一般化粧品),化粧品,NG,厚労省通知で「肌の疲れ」はNGとされている。,夏の傷んだ肌に、夏のダメージをケア
エイジングケア以外の表現 (若返り、老化防止),化粧品,条件付きOK,主観的な印象表現 (例: 実年齢より若く見える、老けて見えなくなった) なら必ずしもNGではない。,実年齢より若く見える、老けて見えなくなった
保湿・エイジングケア成分 (成分説明として),化粧品,NG,「エイジングケア成分」は概念的におかしい。「アンチエイジング成分」と誤認させる狙いと見られる。,美容業界でエイジングケアをサポートすると話題の保湿成分
エイジレスな肌,化粧品,グレー,若返り・老化防止とも取れるが、「年齢不詳」の意味とも取れる。,※「年齢を感じさせない肌のことです」と注釈すればよい。
アンチエイジングケア,化粧品,NG,「加齢を止めるケア」の意味になるため。,エイジングケア (年齢に応じたお手入れ)
アンチエイジング,化粧品,NG,加齢を止める意味のため。,エイジングケア
エイジングと戦う,化粧品,NG,「アンチエイジング」と同義のため。,-
抗加齢,化粧品,NG,加齢を止めるニュアンスのため。,-
△△は肌表面と肌内部で老化と戦う。,化粧品,NG,「老化と戦う」はアンチエイジングと同義。,△△は肌表面と肌内部でエイジングケア。
老化の原因にＳＰＦウォーター××,化粧品,NG,老化の原因と化粧品を結びつけるのは不可。「老化の原因となる紫外線対策に～」もNG。,-
テーピング効果 (一般化粧品),化粧品,NG,効能範囲外。,ピーンと張る (ギリギリ)
たるみを取る,化粧品,NG,効能範囲外。,スキッとひきしめ
化粧品の物理的効果でシワを伸ばす,化粧品,OK (要エビデンス),平成25年粧工連通知に基づき、事実の範囲で可能。エビデンス不可欠。,-
上記のビフォーアフター写真,化粧品,OK,適正広告基準改定で原則OK。効能範囲逸脱や保証表現に注意。,-
シワの予防 (一般化粧品),化粧品,NG,「解消」だけでなく「予防」もNG。,深く刻まれた悩み
WRINKLE (一般化粧品),化粧品,微妙,ブランド名ならOK。,-
小ジワの原因は乾燥。だから保湿を (一般化粧品),化粧品,OK (要エビデンス),新効能「乾燥による小ジワを目立たなくする」のロジックに合う。抗シワ試験のエビデンス必要。,-
シワ予防 (美容液・一般化粧品),化粧品,NG,「解消」も「予防」も不可。,リンクル (ブランド名等なら可)
クスミを取る (一般化粧品),化粧品,条件付きOK,汚れや古い角質によるものと注釈すればOK。,-
UV耐水性☆★ (星が白黒混合),化粧品,NG,☆☆か★★のみ。,UV耐水性☆☆、UV耐水性★★
UVウォータープルーフ (UV耐水性の代わり),化粧品,NG,「UV耐水性」はセットフレーズ。,-
UV耐水性表示＋「ウォータープルーフ」,化粧品,条件付きOK,UV耐水性の程度を惑わせる強調でなければOK。,-
メイク効果ウォータープルーフ！,化粧品,OK,UV耐水性制度とは別。自己責任で表示可。,-
植物原料の組み合わせで紫外線カット効果 (SPF/PA値あり) → 「日やけを防ぐ」「日やけによるシミ、ソバカスを防ぐ」,化粧品,OK,SPF/PAのエビデンスがあれば謳える。,-
サンゴで純白 (一般化粧品),化粧品,NG,「純白」は「美白」に準じ薬用限定。,純白のサンゴを使用 (OK)
絹の成分で美白 (一般化粧品),化粧品,NG,一般化粧品で「美白」は言えない。,絹を精練する職人の手の白さの謎を研究しています (ギリギリ)
純白の (一般化粧品),化粧品,NG,「美白」「ホワイトニング」に準じ薬用限定。,陶器肌へ
美白 (美容液・一般化粧品),化粧品,NG,一般化粧品では「美白」「白」は謳えない。,透明感
ファンデの色もワントーン明るくなった (一般化粧品),化粧品,OK,-,-
ファンデーションでシミなし,化粧品,微妙,メイクで「シミを隠す」はOK。「シミなし」が「隠す」と解釈できるかによる。,シミをカバー
洗い流してタオルで拭いた直後、顔がパッと白くなりビックリしました (一般化粧品),化粧品,NG,顔色が白くなるように読めるため。,洗い流してタオルで拭いた後に、顔がパッと明るくなったことにビックリしました
色白の私が選んだ化粧品 (一般化粧品),化粧品,OKに近い,美白効果を直接うたってはいないため。,-
△△（一般化粧品）で、肌色が白くなった。,化粧品,NG,一般化粧品で「白くなる」はNG。,△△で肌色が明るくなった。
魔法の白い手 (一般化粧品),化粧品,微妙,「もともと白い」と読めればOK、「商品で白くなった」と読めればNG。文脈による。,ＵＶカットで守る魔法の白い手 (OK)
透明感を増す (一般化粧品),化粧品,条件付きOK,汚れが取れたと説明できる場合 (例: 石けん洗顔) はOK。,石けんの泡洗顔で透明感が増す (OK)
シミ (美容液・一般化粧品),化粧品,NG (運用上),ルール上(効能37)はOKだが、行政はUV化粧品限定と解釈しNGとする。,-
目元のシミが気になっていたが、使い始めて肌トラブルが改善された,化粧品,NG,肌トラブル改善は効能範囲外。,目元のシミが気になっていたが、使い始めてお肌の調子がいいみたいです
××でシミ対策！ (一般化粧品),化粧品,NG (運用上),ルール上はOKだが行政はNGとする。※「日焼けによるシミ」と注記しても同様。,-
クラウドファンディングで薬事超え表現→出資者特典で商品安価販売,化粧品 (CBDクリーム等),NG,特典付与で顧客誘引性が生じ薬機法適用。薬事超え表現は違反。,出資者特典を付けない。
ヘアカラー施術中の頭皮の違和感を緩和するスプレー式頭皮保湿オイル,化粧品 (オイル),NG (化粧品) / OK (雑品、要ロジック変更),化粧品効能外。物理的保護 (シート役割) ロジックで雑品なら可。「物理的カバー効果」等明記推奨。,-
膣トリートメントオイル,化粧品 (オイル),微妙 (用法次第),膣内使用ならNG。膣外使用ならOK。用法を明確化推奨。,デリケートゾーン用トリートメントオイル
コラム方式 (広告と別枠で一般的効能説明),化粧品 (クリーム),OK,広告部分と明確に分離し、リンク等がなければOK。,-
種類別名称「クリーム」(紫外線カット効果あり),化粧品 (クリーム),OK,カテゴリーとして意味があり実態を反映していればOK。「日焼け止め」でなくても可。,-
SUPER COLLAGEN CREAM (パッケージデザイン文字),化粧品 (クリーム),条件付きOK,特記表示にあたるため、配合目的「COLLAGEN (保湿成分として配合)」等の併記が必要。,-
万能クリーム (商品名),化粧品 (クリーム),NG,最大級表現であり適正広告基準違反。,お宝クリーム
クリームをお口の中に塗って口腔保湿！,化粧品 (クリーム),NG,口腔内 (粘膜) への塗布は化粧品範囲外。,-
白髪染めクリーム広告で「染める」「ヘアカラー」 (一般化粧品),化粧品 (クリーム),OKに近い (媒体審査注意),公正競争規約ではOKだが、業界自主基準等でNGとされる可能性あり。※「物理的に染める」旨の注記推奨。,-
マタニティクリーム、妊娠時の敏感肌に,化粧品 (クリーム),OK,妊娠時の乾燥に対する保湿というロジックならOK。※「妊娠時の肌の乾燥を考慮」等の注記推奨。,-
妊娠線対策,化粧品 (クリーム),NG,OKロジックが成立しない。,-
バストトップにピンク△△（クリーム）,化粧品 (クリーム),微妙 (黒ずみケアならOK),美白効果は無理。着色効果ならOK。黒ずみケアなら※「汚れや古い角質による」と注記。,-
バスト用クリーム,化粧品 (クリーム),OK,部位用表示はOK。,※「バストアップ用」はNG。
体臭を元からカットする消臭クリーム××,化粧品 (クリーム),NG,一般化粧品では臭いを消すは言えない。,体臭もカバーするマスキングクリーム××
カラダの中から溢れるバラの香り、フレグランスクリーム××,化粧品 (クリーム),NG,「カラダの中から溢れる」は化粧品の芳香効果 (香りを足す) を超える。,体臭、口臭、加齢臭に、フレグランスクリーム××
商品名「リッチパワーリフトクリーム」,化粧品 (クリーム),微妙,「リフト」が「肌を引き上げる」意味ならNG。「肌のコンディションを高める」意味ならOKに近い。,-
ほうれい線ケア,化粧品 (クリーム),微妙,「ほうれい線」は「シワ」とも「部位」とも取れる。部位の意味ならOKだが担当官による差あり。,ほうれい線周りに (同様に微妙)
ほうれいに満足、豊麗に満足,化粧品 (クリーム),微妙 (ほうれい) / OK (豊麗),「豊麗」は意味が異なりOK。「ほうれい」はどちらとも取れNGリスクあり。,豊麗に満足
小ジワの悩みに！ (見出し、抗シワ試験済みクリーム),化粧品 (クリーム),NG,粧工連通知で「小ジワ」のみの強調、悩み解消表現はNG。,「乾燥による小ジワの悩みに*！ *乾燥小ジワを目立たなくします」 (注釈付き)
花粉やほこりふきなどの微粒子汚れから肌をガード (汗ふきシート),化粧品 (シート),条件付きOK,化粧品効能(27)「皮膚を保護する」で説明可能だが、物理的保護の作用機序説明とエビデンスが必要。「雑菌」「ウイルス」はNG。,花粉・ちり・ホコリなどの微粒子汚れから肌を守る
デトックス (ジェル・クリーム),化粧品 (ジェル・クリーム),NG,解毒は効能範囲外。粧工連ガイドラインでもNG。,老廃物を排出 (※汚れや古い角質という趣旨と注記要)
スリミングジェル,化粧品 (ジェル),NG,粧工連ガイドラインで「スリミング」は不可。,美しいシルエットに (ギリギリ)
排出、浄化、還元、スッキリ (マッサージジェル),化粧品 (ジェル),条件付きOK,対象物 (汚れ、皮脂、古い角質) を明示し、除去の意味と注釈すればOK。,ボディマッサージで不要物を浄化* (*汚れや皮脂を除去すること)
毒素を排出 (マッサージジェル),化粧品 (ジェル),NG,上記ロジックで説明不可。,-
フェイスラインに小顔ジェル,化粧品 (ジェル),NG,「小顔」はNG。,-
フェイスラインにスリミングジェル,化粧品 (ジェル),NG,「スリミング」は適正広告ガイドラインで不可。,-
目元に塗るジェル状美容液で物理的にシワをカバー,化粧品 (ジェル美容液),条件付きOK,物理的なメーキャップ効果として可能だが、事実である根拠が必要。「隠す」「なくなる」はNG。「カバー」も完全カバーの意味ならNG。「対策」「目立たなくなる」は可。,-
オーガニックシャンプー (オーガニックエキス少量配合),化粧品 (シャンプー),注意必要,「オーガニック」表示ルールなし。少量配合で「オーガニックシャンプー」は景表法リスク。配合割合や成分注釈推奨。,-
美容師がシャンプーのコメント,化粧品 (シャンプー),NG (原則) / 条件付きOK,使用コメントは体験談禁止。顧客の変化を実況する形式ならOKの可能性 (推薦と見られないよう注意)。,-
白髪を改善し、黒髪にするシャンプー,化粧品 (シャンプー),NG,色の変化は言えない。カラーリングによる物理的着色のみ可。,黒髪を美しくはぐくむ、白髪を若々しい印象にする、白髪に艶を与える
抜け毛を防止するミラクル育毛剤と共に、ミラクルシャンプーもお使い下さい,化粧品 (シャンプー),OKに近い,シャンプー自体の効能ではないため。※「ミラクル」は最上級類似でNG。「OMG」等に変更要。,-
地肌に栄養を与える (シャンプー),化粧品 (シャンプー),NG,厚労省通知で「栄養補給」は不適正表現。,-
髪のサプリ (ヘアケア商品),化粧品 (シャンプー等),OKに近い,「サプリ」に法的定義なく、美容目的の成分補給と解釈可能。食品と誤認されないよう注意。,-
ドライマウスでお悩みの方へ、保湿スプレーでお口をうるおす,化粧品 (スプレー),NG (ドライマウス部分),「ドライマウス」は疾病名 (口腔乾燥症) のためNG。「お口をうるおす」はOK。,ドライなマウス、乾燥した口腔
髪の芯まで浸透 (ヘアートニック・一般化粧品),化粧品 (トニック),OK,粧工連ガイドラインで認められている。,-
ヘア―トニックでリペアー、インプルーブ,化粧品 (トニック),OKに近い,回復・改善には至らないため。髪の「リペア」「補修」は物理的効果として可能。,-
ヘア―トニックで髪の毛を太くする,化粧品 (トニック),NG,育毛剤でもNG。,毛力UP (イメージ的ならOK)
ヘア―トニックで抜け毛防止,化粧品 (トニック),NG,部外品(育毛剤)限定。,健やかな髪を育む (微妙)
薄毛が気になるところにお使い下さい (ヘアートニック・一般化粧品),化粧品 (トニック),NG,都庁講習会で育毛効果暗示としてNGとされた。,毛髪の土台を整える (ギリギリ)
